"client_names","age","dt","programs","ret"
"Erby Watsica",25,2021-06-27,"am",0
"Gracie Aufderhar",34,2022-07-28,"bcs",1
"Pranav Crooks",27,2021-07-20,"brave",0
"Audie Zieme",27,2021-07-04,"bcs",0
"Amari Brakus",29,2022-02-08,"rdap",1
"Mrs. Kindra Mitchell",24,2021-12-11,"challenge",0
"Mr. Dwayne Kshlerin PhD",25,2021-11-02,"challenge",0
"Miss Tea Streich DDS",25,2022-06-15,"resolve",1
"Taraji Donnelly",23,2022-02-23,"am",1
"Tony Feil IV",27,2021-10-24,"challenge",0
"Mr. Keyshawn Emard",31,2022-01-19,"challenge",0
"Nasir Douglas",35,2022-02-23,"mhsd",0
"Mareli Schamberger MD",36,2021-08-13,"challenge",1
"Parthenia Kilback",28,2021-11-15,"bgs",0
"Dagny Eichmann",25,2022-05-23,"rdp",0
"Mr. Wess Kling PhD",27,2021-12-21,"challenge",0
"Almond Klein",25,2021-10-01,"am",1
"Ethelbert Rogahn-Nader",33,2021-10-13,"am",1
"Ms. Kyara Luettgen DDS",43,2022-02-21,"am",0
"Rollie Hyatt",37,2022-09-10,"fbt",0
"Erasmo Fadel",31,2021-12-24,"challenge",0
"Bronson Skiles",34,2021-06-09,"challenge",0
"Alzina King",23,2021-12-19,"rdap",1
"Stefan Morar DDS",27,2022-04-02,"resolve",0
"Dock Botsford-Rau",30,2022-08-16,"bcs",1
"Chester Grant",25,2022-01-04,"resolve",0
"Kaci Kulas",28,2021-11-01,"challenge",0
"Kassie Goodwin",29,2021-12-01,"stages",0
"Miss Glynda Lemke PhD",33,2021-09-09,"stages",0
"Gray Weissnat",31,2021-12-17,"stages",0
"Darwin Feil",29,2022-06-04,"stages",0
"Mr. Matthias Dicki I",29,2021-08-03,"challenge",0
"Green Beahan DVM",22,2021-12-09,"bcs",0
"Dr. Alvy Will",25,2021-08-07,"am",0
"Dr. Sue Gaylord",33,2021-09-13,"stages",0
"Eldon Jast",32,2021-12-10,"challenge",0
"Margarita Rolfson",34,2022-01-10,"fbt",0
"Agatha Roob DDS",35,2022-03-02,"bcs",0
"Aric Purdy",23,2022-06-15,"rdp",0
"Candida McLaughlin",35,2022-02-23,"am",0
"Clemence Kshlerin",18,2021-12-15,"dbt",1
"Dr. Ova Leffler",30,2022-04-04,"stages",1
"Zayne Upton",24,2022-04-03,"stages",1
"Elfrieda Hamill",29,2022-07-12,"bcs",1
"Edw Yost",27,2021-08-05,"am",1
"Dr. Yoel Nader IV",30,2021-09-05,"fbt",0
"Colon Blick Jr.",33,2022-05-24,"bcs",1
"Mckinley Wuckert-Schinner",31,2022-03-14,"am",0
