abt_inmate_id,sex,admtype,offgeneral,admit_year,release_year,race,ageadmit,agerelease,reltype,state
A012022000000032585,2,1,4,2016,2017,1,2,2,1,1
A012022000000057171,1,1,2,2017,2017,1,4,4,3,1
A012022000000209490,2,1,3,2016,2017,1,1,1,1,1
A012022000000024944,1,2,3,2016,2017,9,3,3,1,1
A012022000000057918,1,1,1,2010,2017,9,1,2,1,1
A012022000000084391,1,3,3,2016,2017,9,5,5,1,1
A012022000000130445,1,1,1,2016,2017,9,2,2,1,1
A012022000000025890,1,2,2,2015,2017,1,3,3,1,1
A012022000000069486,2,1,1,2016,2017,9,1,2,1,1
A012022000000130538,1,1,3,2017,2017,9,2,2,1,1
A012022000000099862,2,1,4,2017,2017,9,2,2,1,1
A012022000000009188,1,3,1,2014,2017,9,2,3,1,1
A012022000000015751,1,1,4,2016,2017,9,2,2,2,1
A012022000000003993,1,3,2,2016,2017,9,2,2,1,1
A012022000000017114,1,1,1,2015,2017,1,1,2,2,1
A012022000000093556,1,1,2,2016,2017,1,3,3,1,1
A012022000000001195,1,1,4,2016,2017,9,2,2,1,1
A012022000000207921,1,1,2,2014,2017,1,2,2,2,1
A012022000000197444,1,2,1,2015,2017,9,2,2,1,1
A012022000000082058,1,1,3,2016,2017,9,2,2,1,1
A012022000000067058,1,3,3,2016,2017,9,2,2,2,1
A012022000000112719,1,1,3,2017,2017,1,1,1,1,1
A012022000000072205,1,1,3,2016,2017,1,1,2,1,1
A012022000000132099,1,1,1,2008,2017,1,4,5,1,1
A012022000000006138,1,1,4,2015,2017,9,3,3,1,1
A012022000000031296,1,1,1,2009,2017,9,1,2,1,1
A012022000000147332,1,1,4,2017,2017,9,1,1,1,1
A012022000000001920,1,2,2,2017,2017,1,2,2,9,1
A012022000000090241,2,1,4,2015,2017,1,3,3,1,1
A012022000000016009,1,2,4,2016,2017,1,3,3,2,1
A012022000000095991,1,2,1,2017,2017,9,2,2,1,1
A012022000000000584,1,1,3,2014,2017,1,3,4,1,1
A012022000000104261,1,1,1,1996,2017,9,1,3,2,1
A012022000000037167,1,3,1,2017,2017,1,3,3,3,1
A012022000000008906,1,1,2,2017,2017,1,1,1,1,1
A012022000000136738,1,3,4,2015,2017,9,2,2,2,1
A012022000000055302,1,1,2,2015,2017,9,2,2,1,1
A012022000000022600,1,1,1,2016,2017,1,2,2,2,1
A012022000000004849,1,1,3,2017,2017,1,2,2,3,1
A012022000000005355,1,1,3,2016,2017,9,4,4,2,1
A012022000000062053,1,1,2,2017,2017,1,2,2,1,1
A012022000000051765,1,1,1,2016,2017,1,2,3,1,1
A012022000000015238,1,2,1,2017,2017,9,3,3,1,1
A012022000000017178,1,1,2,2012,2017,1,5,5,1,1
A012022000000029729,1,2,1,2017,2017,1,5,5,1,1
A012022000000012902,1,2,2,2016,2017,1,3,3,1,1
A012022000000021679,1,1,2,2009,2017,1,3,3,1,1
A012022000000001669,1,1,2,2016,2017,9,3,3,1,1
A012022000000027639,1,1,2,2017,2017,9,2,2,1,1
A012022000000012622,1,1,2,2017,2017,9,2,2,3,1
A012022000000126110,1,2,3,2004,2017,1,2,3,1,1
A012022000000117307,1,1,2,2016,2017,9,2,2,9,1
A012022000000002484,1,1,2,2015,2017,9,4,4,2,1
A012022000000027700,1,1,2,2016,2017,1,3,3,1,1
A012022000000096796,1,1,2,2017,2017,1,2,2,1,1
A012022000000077308,2,1,3,2017,2017,1,3,3,3,1
A012022000000136561,1,3,3,2016,2017,1,3,3,2,1
A012022000000046865,1,1,2,2015,2017,1,3,4,1,1
A012022000000131190,1,3,1,2004,2017,9,4,5,2,1
A012022000000003505,2,1,2,2016,2017,1,2,2,1,1
A012022000000009171,1,1,2,2009,2017,1,1,2,1,1
A012022000000057083,1,1,3,2013,2017,1,2,3,1,1
A012022000000055751,1,1,4,2017,2017,1,5,5,1,1
A012022000000058963,1,1,5,2017,2017,1,1,1,1,1
A012022000000025080,1,1,3,2016,2017,9,3,3,1,1
A012022000000098810,1,1,1,2007,2017,9,4,5,3,1
A012022000000047043,1,1,1,2012,2017,1,2,2,2,1
A012022000000023772,1,1,4,2012,2017,1,3,3,2,1
A012022000000137847,2,3,2,2016,2017,1,2,2,1,1
A012022000000116613,1,1,3,2017,2017,1,2,2,2,1
A012022000000014612,1,1,3,2016,2017,9,5,5,2,1
A012022000000082474,2,3,2,2016,2017,1,3,3,1,1
A012022000000000359,1,1,3,2017,2017,1,2,2,1,1
A012022000000074403,1,1,2,2017,2017,1,1,1,1,1
A012022000000002272,1,1,2,2017,2017,9,2,2,3,1
A012022000000188059,1,1,4,2017,2017,9,1,1,1,1
A012022000000010784,1,2,1,2016,2017,9,3,3,1,1
A012022000000041670,1,2,5,2016,2017,9,1,1,2,1
A012022000000113551,1,1,2,2007,2017,1,4,5,1,1
A012022000000023621,1,1,2,2016,2017,9,2,2,1,1
A012022000000035711,1,1,1,2007,2017,9,1,2,1,1
A012022000000017201,1,1,1,2003,2017,9,5,5,1,1
A012022000000048862,1,1,2,2010,2017,9,1,2,1,1
A012022000000039197,1,1,1,2012,2017,1,5,5,2,1
A012022000000106642,2,1,4,2017,2017,1,2,2,1,1
A012022000000069188,1,2,2,2016,2017,1,4,4,1,1
A012022000000098753,1,1,1,2017,2017,9,4,4,1,1
A012022000000106072,1,1,4,2017,2017,1,1,1,1,1
A012022000000176284,1,9,2,2017,2017,9,3,3,1,1
A012022000000004203,1,1,3,2016,2017,1,2,2,1,1
A012022000000045244,1,1,3,2016,2017,9,2,3,1,1
A012022000000025726,1,2,3,2016,2017,1,3,3,2,1
A012022000000031389,1,1,3,2012,2017,1,2,3,1,1
A012022000000032571,1,1,1,2016,2017,9,1,2,1,1
A012022000000022571,2,1,3,2017,2017,1,2,2,2,1
A012022000000011587,1,1,2,2016,2017,1,3,3,1,1
A012022000000051801,1,3,3,2017,2017,1,2,2,3,1
A012022000000047683,1,3,1,2016,2017,1,2,2,1,1
A012022000000041345,1,1,1,2014,2017,9,1,2,1,1
A012022000000041510,1,1,2,2013,2017,1,4,4,1,1
A012022000000028574,1,3,2,2016,2017,1,1,1,2,1
A012022000000020764,1,3,1,2014,2017,9,2,3,2,1
A012022000000104451,1,1,3,2016,2017,9,3,3,1,1
A012022000000048397,1,1,4,2017,2017,1,2,2,1,1
A012022000000028910,1,1,1,2015,2017,1,1,2,1,1
A012022000000013921,2,3,4,2017,2017,1,2,2,1,1
A012022000000010596,1,1,1,2017,2017,9,3,3,1,1
A012022000000013946,2,1,4,2015,2017,1,4,4,1,1
A012022000000045214,1,3,2,2015,2017,9,3,3,1,1
A012022000000057267,1,1,2,2017,2017,1,4,4,1,1
A012022000000002394,2,1,2,2014,2017,9,1,2,1,1
A012022000000015328,2,1,2,2017,2017,9,3,3,3,1
A012022000000104072,1,1,4,2016,2017,1,3,3,1,1
A012022000000167612,1,1,3,2014,2017,9,2,2,1,1
A012022000000073825,1,1,1,2008,2017,9,1,2,1,1
A012022000000013508,1,1,2,2016,2017,1,2,2,2,1
A012022000000004410,1,3,2,2017,2017,9,5,5,1,1
A012022000000129583,1,1,1,2016,2017,1,5,5,1,1
A012022000000154385,1,1,1,2014,2017,1,3,4,1,1
A012022000000040623,2,1,4,2017,2017,1,3,3,1,1
A012022000000021476,1,2,2,2017,2017,9,4,4,1,1
A012022000000127416,2,1,2,2016,2017,1,5,5,1,1
A012022000000038409,1,9,3,2016,2017,1,5,5,2,1
A012022000000066104,1,1,2,2010,2017,9,1,2,1,1
A012022000000114559,1,1,2,2014,2017,9,1,1,2,1
A012022000000125996,1,1,3,2013,2017,9,3,3,1,1
A012022000000000405,2,1,3,2017,2017,1,2,2,1,1
A012022000000032836,2,1,3,2016,2017,1,2,2,1,1
A012022000000062330,1,1,3,2010,2017,1,4,4,1,1
A012022000000039016,1,3,3,2016,2017,1,2,2,1,1
A012022000000013048,1,1,4,2017,2017,1,2,2,1,1
A012022000000028130,2,1,3,2017,2017,9,2,2,1,1
A012022000000067548,1,1,1,2017,2017,9,2,2,1,1
A012022000000067876,1,9,3,2017,2017,9,2,2,1,1
A012022000000021095,1,1,2,2015,2017,9,2,2,2,1
A012022000000001000,1,1,3,2016,2017,9,2,2,1,1
A012022000000040336,1,1,3,2014,2017,9,2,3,3,1
A012022000000055383,1,3,3,2016,2017,1,3,3,1,1
A012022000000179042,1,1,1,1997,2017,1,2,4,1,1
A012022000000026344,1,1,1,2011,2017,9,4,4,1,1
A012022000000022560,1,3,2,2017,2017,9,3,3,1,1
A012022000000021736,1,1,4,2014,2017,1,5,5,3,1
A012022000000009772,2,1,2,2016,2017,1,2,2,1,1
A012022000000034527,1,1,3,2016,2017,1,5,5,3,1
A012022000000007701,1,2,2,2017,2017,1,2,2,1,1
A012022000000133351,2,1,4,2016,2017,9,2,2,1,1
A012022000000019951,1,1,3,2016,2017,9,1,1,1,1
A012022000000020179,1,1,4,2017,2017,9,2,2,1,1
A012022000000113176,1,1,5,2016,2017,9,1,1,2,1
A012022000000209267,1,1,3,2016,2017,1,2,2,1,1
A012022000000009277,1,1,1,2002,2017,9,1,3,3,1
A012022000000005083,1,3,2,2014,2017,9,4,4,1,1
A012022000000142700,1,1,1,2017,2017,1,4,4,3,1
A012022000000009829,1,1,3,2017,2017,1,3,3,3,1
A012022000000094995,1,1,4,2017,2017,1,2,2,1,1
A012022000000164004,1,1,1,2012,2017,9,2,2,2,1
A012022000000061304,1,1,4,2016,2017,9,3,3,1,1
A012022000000035270,1,1,4,2016,2017,9,4,4,1,1
A012022000000018060,1,2,3,2017,2017,9,2,2,1,1
A012022000000054361,2,1,2,2017,2017,1,3,3,3,1
A012022000000191200,1,1,2,2016,2017,1,1,1,1,1
A012022000000052454,2,1,3,2017,2017,1,1,1,1,1
A012022000000002413,1,3,2,2017,2017,1,2,2,3,1
A012022000000029065,2,1,5,2017,2017,1,1,1,1,1
A012022000000183656,1,1,2,2015,2017,9,2,2,1,1
A012022000000002129,1,1,1,2012,2017,9,2,2,1,1
A012022000000106382,1,1,1,2013,2017,9,2,3,1,1
A012022000000002884,1,2,2,2017,2017,1,4,4,1,1
A012022000000009449,1,2,3,2017,2017,9,4,4,2,1
A012022000000043556,1,1,4,2017,2017,1,2,2,3,1
A012022000000014236,1,1,2,2012,2017,9,3,3,2,1
A012022000000038909,2,1,2,2014,2017,1,4,5,1,1
A012022000000013954,1,1,1,2015,2017,1,4,4,1,1
A012022000000004044,1,3,4,2012,2017,1,2,2,2,1
A012022000000154937,1,1,1,2017,2017,1,4,4,1,1
A012022000000010270,1,2,1,2017,2017,1,3,3,1,1
A012022000000138865,1,2,1,2017,2017,9,3,3,1,1
A012022000000005566,1,1,1,2017,2017,9,1,1,1,1
A012022000000074542,1,1,4,2017,2017,1,3,3,1,1
A012022000000051612,1,1,3,2017,2017,9,3,3,3,1
A012022000000049106,1,1,3,2017,2017,1,2,2,1,1
A012022000000196791,1,1,2,2017,2017,9,1,1,1,1
A012022000000029996,1,3,2,2017,2017,1,3,3,3,1
A012022000000034632,2,1,2,2017,2017,1,1,1,1,1
A012022000000134286,2,1,3,2016,2017,9,4,4,1,1
A012022000000076530,1,1,3,2015,2017,9,1,1,3,1
A012022000000019795,1,3,2,2014,2017,1,4,4,2,1
A012022000000003844,2,1,5,2015,2017,9,3,3,9,1
A012022000000028378,1,1,1,2015,2017,9,1,1,1,1
A012022000000011992,1,1,2,2017,2017,1,5,5,3,1
A012022000000127742,1,1,3,2016,2017,9,4,4,1,1
A012022000000151657,1,1,2,2017,2017,9,4,4,1,1
A012022000000022346,1,1,2,2017,2017,1,3,3,1,1
A012022000000022243,1,2,1,2010,2017,9,3,4,1,1
A012022000000105648,1,1,3,2004,2017,9,2,3,1,1
A012022000000028537,1,1,3,2015,2017,1,2,2,1,1
A012022000000025514,1,1,3,2016,2017,1,1,1,1,1
A012022000000008293,1,1,3,2016,2017,9,2,2,1,1
A012022000000060734,1,1,2,2014,2017,1,2,2,2,1
A012022000000091148,1,9,3,2017,2017,9,2,2,1,1
A012022000000007765,1,1,3,2017,2017,1,2,2,3,1
A012022000000063340,1,2,4,2013,2017,9,2,3,1,1
A012022000000000744,1,1,1,2014,2017,1,2,2,1,1
A012022000000012352,1,2,1,2017,2017,1,5,5,1,1
A012022000000018814,1,2,3,2017,2017,9,3,3,1,1
